tickertape_sync started run_id=9 companies=4487 snapshot_date=2026-05-25 db=local_repository/tickertape.sqlite
progress index=50/4487 succeeded=43 failed=7 skipped=0 elapsed_sec=112.3
progress index=100/4487 succeeded=88 failed=12 skipped=0 elapsed_sec=214.5
progress index=150/4487 succeeded=132 failed=18 skipped=0 elapsed_sec=321.4
progress index=200/4487 succeeded=178 failed=22 skipped=0 elapsed_sec=439.3
progress index=250/4487 succeeded=222 failed=28 skipped=0 elapsed_sec=555.9
progress index=300/4487 succeeded=268 failed=32 skipped=0 elapsed_sec=670.0
progress index=350/4487 succeeded=312 failed=38 skipped=0 elapsed_sec=787.9
progress index=400/4487 succeeded=359 failed=41 skipped=0 elapsed_sec=897.3
progress index=450/4487 succeeded=405 failed=45 skipped=0 elapsed_sec=1005.0
progress index=500/4487 succeeded=452 failed=48 skipped=0 elapsed_sec=1112.9
progress index=550/4487 succeeded=497 failed=51 skipped=2 elapsed_sec=1215.2
progress index=650/4487 succeeded=567 failed=67 skipped=16 elapsed_sec=1404.9
progress index=700/4487 succeeded=605 failed=74 skipped=21 elapsed_sec=1506.3
progress index=800/4487 succeeded=679 failed=86 skipped=35 elapsed_sec=1688.0
progress index=1000/4487 succeeded=828 failed=104 skipped=68 elapsed_sec=2029.7
progress index=1050/4487 succeeded=862 failed=109 skipped=79 elapsed_sec=2110.4
progress index=1100/4487 succeeded=906 failed=113 skipped=81 elapsed_sec=2210.4
progress index=1150/4487 succeeded=941 failed=119 skipped=90 elapsed_sec=2294.5
progress index=1200/4487 succeeded=979 failed=125 skipped=96 elapsed_sec=2388.3
progress index=1250/4487 succeeded=1016 failed=133 skipped=101 elapsed_sec=2482.5
progress index=1300/4487 succeeded=1055 failed=138 skipped=107 elapsed_sec=2569.1
progress index=1400/4487 succeeded=1130 failed=150 skipped=120 elapsed_sec=2740.4
progress index=1450/4487 succeeded=1171 failed=151 skipped=128 elapsed_sec=2833.7
progress index=1500/4487 succeeded=1209 failed=155 skipped=136 elapsed_sec=2922.8
progress index=1550/4487 succeeded=1248 failed=158 skipped=144 elapsed_sec=3011.4
progress index=1600/4487 succeeded=1285 failed=162 skipped=153 elapsed_sec=3098.0
progress index=1650/4487 succeeded=1321 failed=168 skipped=161 elapsed_sec=3187.5
progress index=1750/4487 succeeded=1395 failed=175 skipped=180 elapsed_sec=3367.5
progress index=1800/4487 succeeded=1428 failed=183 skipped=189 elapsed_sec=3456.7
progress index=1850/4487 succeeded=1460 failed=194 skipped=196 elapsed_sec=3548.5
progress index=1900/4487 succeeded=1493 failed=206 skipped=201 elapsed_sec=3640.1
progress index=1950/4487 succeeded=1527 failed=213 skipped=210 elapsed_sec=3725.8
progress index=2000/4487 succeeded=1563 failed=217 skipped=220 elapsed_sec=3805.1
progress index=2050/4487 succeeded=1601 failed=221 skipped=228 elapsed_sec=3896.4
progress index=2100/4487 succeeded=1638 failed=225 skipped=237 elapsed_sec=3979.6
progress index=2150/4487 succeeded=1678 failed=229 skipped=243 elapsed_sec=4069.8
progress index=2200/4487 succeeded=1717 failed=230 skipped=253 elapsed_sec=4157.9
progress index=2250/4487 succeeded=1756 failed=234 skipped=260 elapsed_sec=4250.2
progress index=2300/4487 succeeded=1792 failed=238 skipped=270 elapsed_sec=4327.9
progress index=2350/4487 succeeded=1830 failed=244 skipped=276 elapsed_sec=4415.5
progress index=2400/4487 succeeded=1865 failed=250 skipped=285 elapsed_sec=4495.2
progress index=2450/4487 succeeded=1895 failed=261 skipped=294 elapsed_sec=4577.2
progress index=2550/4487 succeeded=1972 failed=268 skipped=310 elapsed_sec=4750.6
progress index=2600/4487 succeeded=2012 failed=269 skipped=319 elapsed_sec=4838.3
progress index=2650/4487 succeeded=2050 failed=276 skipped=324 elapsed_sec=4928.5
progress index=2800/4487 succeeded=2152 failed=291 skipped=357 elapsed_sec=5164.8
progress index=2850/4487 succeeded=2187 failed=296 skipped=367 elapsed_sec=5254.3
progress index=2900/4487 succeeded=2222 failed=301 skipped=377 elapsed_sec=5336.9
progress index=2950/4487 succeeded=2262 failed=308 skipped=380 elapsed_sec=5438.2
progress index=3000/4487 succeeded=2300 failed=316 skipped=384 elapsed_sec=5535.2
progress index=3100/4487 succeeded=2372 failed=329 skipped=399 elapsed_sec=5718.2
progress index=3150/4487 succeeded=2414 failed=334 skipped=402 elapsed_sec=5811.8
progress index=3200/4487 succeeded=2450 failed=340 skipped=410 elapsed_sec=5901.6
progress index=3250/4487 succeeded=2491 failed=344 skipped=415 elapsed_sec=5991.3
progress index=3300/4487 succeeded=2525 failed=349 skipped=426 elapsed_sec=6072.1
progress index=3350/4487 succeeded=2561 failed=353 skipped=436 elapsed_sec=6156.1
progress index=3400/4487 succeeded=2598 failed=357 skipped=445 elapsed_sec=6241.1
progress index=3450/4487 succeeded=2634 failed=364 skipped=452 elapsed_sec=6333.5
